ilad;ilcead;mahallead;tha_ihdas_adano;tha_ihdas_parselno;mukerrer_adano;mukerrer_parselno;kesisen_alan_m2;kad_basvuruno;kad_basvuru_olusturmatarihi;kad_fenkayitno;kad_fenkayittarih;tescilyevmiyeno;tesciltarih;olusanparselid;tha_geom;mukerrer_parsel_durum;mukerrer_parsel_onaydurum;mukerrer_parsel_geom
DİYARBAKIR;SİLVAN;YUVA;0;1769;472;1;15013.45;11695463;2026-04-01 15:52:52.000;263;2026-04-01 15:53:10.000;4942;2026-04-06 13:00:34.000;750336176;POLYGON ((41.091290300385 38.066522627716, 41.094113207349 38.066122575511, 41.094285907617 38.066313343668, 41.094355357168 38.066375430061, 41.094420329463 38.066448315433, 41.095513651754 38.06621993065, 41.095423015525 38.066984592415, 41.095253620501 38.067001665572, 41.094390074138 38.067157223138, 41.094247556784 38.06710598746, 41.094047677595 38.067144860525, 41.093956771564 38.067093515276, 41.093903056973 38.067023851957, 41.093769535013 38.066880486381, 41.09372195985 38.066910249053, 41.093686809591 38.06695882696, 41.093422528161 38.067050070301, 41.093376079703 38.067183311657, 41.093265485034 38.067220682576, 41.093078160369 38.067312295809, 41.093039180078 38.06751170093, 41.092929588088 38.067584273927, 41.092922199883 38.067716819274, 41.09282848239 38.067762716719, 41.092751336803 38.067646254192, 41.092641064048 38.067651206465, 41.092505596242 38.067799364491, 41.092322329072 38.067833524982, 41.092184893589 38.067716710046, 41.092178354881 38.067487219245, 41.09211823495 38.067380647358, 41.091913069538 38.067386012074, 41.091946116687 38.067582152658, 41.091934538214 38.067747650817, 41.091781951084 38.06788287147, 41.091072312539 38.0665808665, 41.091290300385 38.066522627716));3;1;POLYGON ((41.09413169954 38.066182618364, 41.095213327059 38.066945366976, 41.09447183043 38.066847600839, 41.091568957067 38.066776444878, 41.091338642931 38.066543945063, 41.091339947742 38.066543829858, 41.09413169954 38.066182618364))
DİYARBAKIR;SİLVAN;YUVA;0;1769;473;1;2974.96;11695463;2026-04-01 15:52:52.000;263;2026-04-01 15:53:10.000;4942;2026-04-06 13:00:34.000;750336176;POLYGON ((41.091290300385 38.066522627716, 41.094113207349 38.066122575511, 41.094285907617 38.066313343668, 41.094355357168 38.066375430061, 41.094420329463 38.066448315433, 41.095513651754 38.06621993065, 41.095423015525 38.066984592415, 41.095253620501 38.067001665572, 41.094390074138 38.067157223138, 41.094247556784 38.06710598746, 41.094047677595 38.067144860525, 41.093956771564 38.067093515276, 41.093903056973 38.067023851957, 41.093769535013 38.066880486381, 41.09372195985 38.066910249053, 41.093686809591 38.06695882696, 41.093422528161 38.067050070301, 41.093376079703 38.067183311657, 41.093265485034 38.067220682576, 41.093078160369 38.067312295809, 41.093039180078 38.06751170093, 41.092929588088 38.067584273927, 41.092922199883 38.067716819274, 41.09282848239 38.067762716719, 41.092751336803 38.067646254192, 41.092641064048 38.067651206465, 41.092505596242 38.067799364491, 41.092322329072 38.067833524982, 41.092184893589 38.067716710046, 41.092178354881 38.067487219245, 41.09211823495 38.067380647358, 41.091913069538 38.067386012074, 41.091946116687 38.067582152658, 41.091934538214 38.067747650817, 41.091781951084 38.06788287147, 41.091072312539 38.0665808665, 41.091290300385 38.066522627716));3;1;POLYGON ((41.095365664631 38.066944148598, 41.094163437842 38.066096356262, 41.09137679281 38.066456908324, 41.088189410774 38.063815453622, 41.087906604947 38.062396043209, 41.086265479174 38.059180389433, 41.085578923097 38.05861247395, 41.085636756433 38.057559098778, 41.085550444774 38.05711164337, 41.085071121625 38.055750741595, 41.084605159361 38.05510096624, 41.084389384808 38.05403742721, 41.084856048581 38.053120877363, 41.087126442139 38.053843617971, 41.092825344532 38.055369647604, 41.092683583509 38.055581793567, 41.092119006083 38.057208322388, 41.092110371764 38.058228612085, 41.093521589782 38.059816868008, 41.09381820654 38.060387681332, 41.094271421187 38.061910717214, 41.094272835621 38.062197768675, 41.094365393046 38.0630278279, 41.094832609571 38.064504289195, 41.095552958164 38.065845811007, 41.095365664631 38.066944148598), (41.092349403823 38.060377150111, 41.092348911548 38.060413182003, 41.092303339102 38.060412792776, 41.092303831398 38.060376760885, 41.092349403823 38.060377150111), (41.089320590421 38.059449820475, 41.089320096677 38.059485852342, 41.089274524846 38.059485461948, 41.089275018612 38.059449430082, 41.089320590421 38.059449820475), (41.08645469803 38.054040419163, 41.086454202971 38.054076451033, 41.086408634532 38.05407605957, 41.086409129613 38.054040027702, 41.08645469803 38.054040419163))
BİLECİK;GÖLPAZARI;REŞADİYE;38;50;38;26/PARK;1238.32;11903338;2026-06-01 14:21:15.000;359;2026-06-01 14:23:47.000;4805;2026-06-03 09:47:50.000;751910691;POLYGON ((30.2991756317388 40.2759216914644, 30.2991771342041 40.275907127366, 30.2992700761793 40.2755435341355, 30.2992720315818 40.2755355756014, 30.2995593836352 40.2755485110417, 30.2995568599729 40.2759398990412, 30.2991756317388 40.2759216914644));3;1;POLYGON ((30.299177143897 40.275907089429, 30.299270076179 40.275543534136, 30.299272035893 40.275535558054, 30.299559391201 40.275548493641, 30.299556867421 40.275939899901, 30.299175631687 40.275921691964, 30.299177143897 40.275907089429))
BİLECİK;GÖLPAZARI;REŞADİYE;39;41;39;35/P;2094.47;11903371;2026-06-01 14:23:35.000;357;2026-06-01 14:23:40.000;4803;2026-06-03 09:44:35.000;751910536;POLYGON ((30.2981621537196 40.2747099555636, 30.2981434365142 40.2746312006757, 30.2981075721876 40.2744962077814, 30.2980956963799 40.2744692212924, 30.2980616694872 40.2744396361132, 30.2980602415305 40.2744344490306, 30.2977986930861 40.2742358485444, 30.2981836065018 40.2740078854991, 30.2981936799277 40.2740231883958, 30.2982425077498 40.2741216874672, 30.2982598445707 40.2741697139103, 30.2982888245559 40.2742705997089, 30.298312655256 40.2743425837928, 30.2983374567226 40.2743911664661, 30.2983613080556 40.2744372140232, 30.2984078106316 40.2745007685837, 30.2985097162425 40.2746146807482, 30.2985677660828 40.2746780115875, 30.2981621537196 40.2747099555636));3;1;POLYGON ((30.297798693086 40.274235848544, 30.298183606502 40.274007885499, 30.298193679928 40.274023188396, 30.29824250775 40.274121687467, 30.298259844571 40.27416971391, 30.298288824556 40.274270599709, 30.298312655256 40.274342583793, 30.298337456723 40.274391166466, 30.298361308056 40.274437214023, 30.298407810632 40.274500768584, 30.298509716243 40.274614680748, 30.298617463091 40.27473222959, 30.298673331289 40.27481445309, 30.298722959805 40.274870610689, 30.298745536105 40.274888351305, 30.298828171333 40.274950382565, 30.298878596596 40.27496588008, 30.2987270275 40.27495556781, 30.298624140544 40.274821080556, 30.298497070987 40.274810701488, 30.298497173375 40.274807792294, 30.298458048863 40.274807514124, 30.298177703255 40.274784614833, 30.298173382783 40.274757203103, 30.298143436514 40.274631200676, 30.298107572188 40.274496207781, 30.29809569638 40.274469221292, 30.298061669487 40.274439636113, 30.298060241531 40.274434449031, 30.297798693086 40.274235848544))
ŞIRNAK;CİZRE;KUŞTEPE;104;176;104;P2;441.24;11905406;2026-06-01 22:29:56.000;359;2026-06-01 22:30:04.000;3363;2026-06-04 11:37:01.000;751890646;POLYGON ((42.149461327773 37.3403315925162, 42.149378276861 37.3403565275984, 42.149271350425 37.3403497879414, 42.1491947320648 37.339983461522, 42.149241535616 37.3399863759053, 42.149461327773 37.3403315925162));3;1;POLYGON ((42.149172742666 37.339878325499, 42.149461327773 37.340331592515, 42.149378276861 37.340356527597, 42.149271350425 37.34034978794, 42.149172742666 37.339878325499))
BALIKESİR;GÖMEÇ;KEMALPAŞA;959;2;959;1;1349.34;11908751;2026-06-02 14:12:47.000;426;2026-06-02 14:12:55.000;3954;2026-06-05 10:03:19.000;751905725;POLYGON ((26.8185976422641 39.4036712754471, 26.8188860660378 39.4038533756498, 26.8186420728993 39.4041883025923, 26.8183543467197 39.4040176412769, 26.8185976422641 39.4036712754471));3;1;POLYGON ((26.818597642264 39.403671275447, 26.818886066038 39.40385337565, 26.818642072899 39.404188302592, 26.81835434672 39.404017641277, 26.818597642264 39.403671275447))
ELAZIĞ;MERKEZ;AKSARAY;510;94;510;92;245.30;11916784;2026-06-04 10:05:57.000;2355;2026-06-04 10:06:24.000;37745;2026-06-10 16:54:19.000;752018048;POLYGON ((39.2359177971699 38.6614428355563, 39.235313751104 38.6613450478515, 39.2349334576439 38.6613099593899, 39.2347524475736 38.6612932071028, 39.2343915768902 38.6612597894671, 39.2344090853472 38.6609951281185, 39.2344192511761 38.6609970229397, 39.2347245039687 38.6610586754188, 39.234761808373 38.6610663565161, 39.2358069574839 38.6612562676176, 39.2359195365859 38.6613694758853, 39.2359177971699 38.6614428355563));3;1;POLYGON ((39.234918493913 38.661291494956, 39.23529878409 38.661326637848, 39.23664751397 38.661544937468, 39.23748321916 38.66183838205, 39.237896673739 38.662190227652, 39.239117739232 38.662374329508, 39.239195009364 38.662400703204, 39.239227253201 38.662423971541, 39.239266222383 38.662480931708, 39.239423851363 38.662912597699, 39.239010203621 38.662972548117, 39.239219113475 38.663670234059, 39.239258541743 38.663801860977, 39.239314734866 38.663790295852, 39.239337261017 38.663857778235, 39.23908720701 38.663909238388, 39.239239745529 38.664365308055, 39.235805573401 38.665006324396, 39.235602887398 38.665030262938, 39.235068651063 38.665058826924, 39.233968316286 38.664928124046, 39.233917525177 38.664927108566, 39.23376838873 38.664454926269, 39.234133714714 38.664373766831, 39.233907775029 38.663314259483, 39.232615183909 38.66351641823, 39.232641673679 38.663400678232, 39.232657222754 38.663306122574, 39.23264941347 38.6632348709, 39.232682998709 38.662860582299, 39.232740256684 38.661687213222, 39.232747551089 38.661537728739, 39.232829305669 38.661419642098, 39.233192254354 38.661381729168, 39.234270157764 38.661426402336, 39.234324782374 38.661389709069, 39.234355861496 38.661350740608, 39.234365469459 38.661305445977, 39.234376601284 38.661241328651, 39.234737480091 38.66127474273, 39.234918493913 38.661291494956))
ELAZIĞ;MERKEZ;AKSARAY;510;93;510;92;386.45;11916801;2026-06-04 10:08:20.000;2356;2026-06-04 10:08:31.000;37744;2026-06-10 16:49:42.000;752018888;POLYGON ((39.23904353936 38.6623793552153, 39.2379115671191 38.6622086395527, 39.2374981663509 38.6618568063341, 39.2366625017497 38.6615633894968, 39.2361467424748 38.6614798981284, 39.2361480203125 38.6614259982659, 39.2362869397853 38.6613400067347, 39.2368854828569 38.6614427924028, 39.238629340501 38.6616678506814, 39.2391040144668 38.6617065971671, 39.2391841041757 38.6617907644462, 39.23904353936 38.6623793552153));3;1;POLYGON ((39.234918493913 38.661291494956, 39.23529878409 38.661326637848, 39.23664751397 38.661544937468, 39.23748321916 38.66183838205, 39.237896673739 38.662190227652, 39.239117739232 38.662374329508, 39.239195009364 38.662400703204, 39.239227253201 38.662423971541, 39.239266222383 38.662480931708, 39.239423851363 38.662912597699, 39.239010203621 38.662972548117, 39.239219113475 38.663670234059, 39.239258541743 38.663801860977, 39.239314734866 38.663790295852, 39.239337261017 38.663857778235, 39.23908720701 38.663909238388, 39.239239745529 38.664365308055, 39.235805573401 38.665006324396, 39.235602887398 38.665030262938, 39.235068651063 38.665058826924, 39.233968316286 38.664928124046, 39.233917525177 38.664927108566, 39.23376838873 38.664454926269, 39.234133714714 38.664373766831, 39.233907775029 38.663314259483, 39.232615183909 38.66351641823, 39.232641673679 38.663400678232, 39.232657222754 38.663306122574, 39.23264941347 38.6632348709, 39.232682998709 38.662860582299, 39.232740256684 38.661687213222, 39.232747551089 38.661537728739, 39.232829305669 38.661419642098, 39.233192254354 38.661381729168, 39.234270157764 38.661426402336, 39.234324782374 38.661389709069, 39.234355861496 38.661350740608, 39.234365469459 38.661305445977, 39.234376601284 38.661241328651, 39.234737480091 38.66127474273, 39.234918493913 38.661291494956))
ELAZIĞ;MERKEZ;RÜSTEMPAŞA;6022;2;6022;2;1539.75;11916902;2026-06-04 10:20:34.000;2360;2026-06-04 10:20:43.000;37839;2026-06-11 10:00:43.000;752019690;POLYGON ((39.2322821876008 38.6700613399388, 39.2322500135569 38.6700592059378, 39.2319166956398 38.6697414000408, 39.2321996801648 38.6695547282198, 39.2325498177108 38.6698807617259, 39.2322821876008 38.6700613399388));3;1;POLYGON ((39.232282187599 38.670061338885, 39.232250013555 38.670059204884, 39.231916695638 38.669741398987, 39.232199680163 38.669554727166, 39.232549817709 38.669880760672, 39.232282187599 38.670061338885))
ADIYAMAN;SİNCİK;MERKEZ;258;1;208;3;843.50;11917940;2026-06-04 11:53:36.000;102;2026-06-04 11:53:42.000;1660;2026-06-05 16:10:43.000;752015028;POLYGON ((38.616062729662 38.0299126739008, 38.6164187700589 38.0301916593134, 38.6164178196168 38.0301936704784, 38.6160927277362 38.0302096336909, 38.6158178840043 38.0299928031064, 38.616062729662 38.0299126739008));3;1;POLYGON ((38.616062729662 38.0299126739008, 38.6164187700589 38.0301916593134, 38.6164178196168 38.0301936704784, 38.6160927277362 38.0302096336909, 38.6158178840043 38.0299928031064, 38.616062729662 38.0299126739008))
