"ilad";"ilcead";"mahallead";"tha_ihdas_adano";"tha_ihdas_parselno";"mukerrer_adano";"mukerrer_parselno";"kesisen_alan_m2";"islemtanimad";"basvuruno";"kad_basvuru_olusturmatarihi";"kad_fenkayitno";"kad_fenkayittarih";"tescilyevmiyeno";"tesciltarih";"olusanparselid";"tha_geom";"mukerrer_parsel_durum";"mukerrer_parsel_onaydurum";"mukerrer_parsel_geom"
ADIYAMAN;BESNİ;ERDEMOĞLU;"290";"159";"290";"22";123.93;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11943004;2026-06-10 15:47:57.000;500;2026-06-10 15:48:03.000;8153;2026-06-11 10:04:08.000;752136943;POLYGON ((37.8462386067271 37.6815851326021, 37.8466361902873 37.6816233059542, 37.8466294379921 37.6814793997785, 37.8472855067324 37.6814904786995, 37.847274875245 37.6815041071259, 37.8469561876311 37.6817548766253, 37.8462683472875 37.6817850684201, 37.8462386067271 37.6815851326021));3;1;POLYGON ((37.846609500687 37.68067180639, 37.846595461767 37.680949015311, 37.846589064229 37.681360322074, 37.846564298339 37.681657338381, 37.846247647001 37.681626102682, 37.846299218393 37.681459388913, 37.846290877651 37.681365885843, 37.846314951362 37.68067646191, 37.846609500687 37.68067180639))
ADIYAMAN;BESNİ;ERDEMOĞLU;"315";"6";"315";"1";206.69;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11942013;2026-06-10 14:05:12.000;496;2026-06-10 14:05:17.000;8164;2026-06-11 11:18:21.000;752130409;POLYGON ((37.8583634144803 37.680092585568, 37.8591736871902 37.6796995919983, 37.8592866170398 37.6797472684433, 37.8592888934045 37.6797873292872, 37.8590128766088 37.6800947531648, 37.8589322425793 37.680042527008, 37.8589035996324 37.6801646152998, 37.858907364062 37.6803561794522, 37.8587869640333 37.6802042768678, 37.8586962796168 37.6801519719741, 37.8584825650818 37.6801197590309, 37.8583634144803 37.680092585568));3;1;POLYGON ((37.85967238505 37.679310014742, 37.860376380089 37.679320557365, 37.860020190954 37.679739619068, 37.859775149826 37.679918994497, 37.859354552926 37.680266862754, 37.85897307601 37.680060786534, 37.859188819035 37.679824200739, 37.859501168984 37.679527024117, 37.85967238505 37.679310014742))
ADIYAMAN;BESNİ;ERDEMOĞLU;"290";"158";"290";"93";116.84;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11942159;2026-06-10 14:16:23.000;497;2026-06-10 14:16:28.000;8161;2026-06-11 10:55:00.000;752130438;POLYGON ((37.8596499091475 37.6804939956022, 37.8596964277875 37.6803142495389, 37.8597270295346 37.6802099140135, 37.859834469731 37.6801878968136, 37.8599770911123 37.6801999137575, 37.860142103802 37.6802068263791, 37.8602475024726 37.6801723752624, 37.8602662442306 37.6801140337048, 37.8601827393843 37.6800298779162, 37.8602060956365 37.6798155211861, 37.8602624018755 37.679635177074, 37.8603306854451 37.67954716559, 37.8605298383664 37.679510071887, 37.8606816042859 37.6794728803817, 37.8605572902235 37.6797471993221, 37.8606238257808 37.6797919274998, 37.8605505787781 37.6799831995341, 37.8603829193878 37.6801048971171, 37.8602358606939 37.6802766066202, 37.8600766360866 37.6804744224909, 37.8597725180336 37.6804848462721, 37.8596499091475 37.6804939956022));3;1;POLYGON ((37.860678538058 37.679904920256, 37.860709474746 37.679897484594, 37.860870465965 37.679977695271, 37.860931091822 37.680044038741, 37.861109945369 37.680123133094, 37.860899971346 37.680380248643, 37.860829038921 37.680351195352, 37.860706378647 37.680415760183, 37.860448717856 37.680397787484, 37.860209179464 37.680256215707, 37.860497486634 37.679968918164, 37.860549489471 37.679962976345, 37.860678538058 37.679904920256))
ADIYAMAN;BESNİ;ERDEMOĞLU;"290";"157";"290";"30";108.16;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11939298;2026-06-10 09:32:18.000;493;2026-06-10 09:32:36.000;8174;2026-06-11 14:12:06.000;752128094;POLYGON ((37.8513935551932 37.6801485318716, 37.8517103992697 37.6793332809625, 37.8518529545378 37.6796322578212, 37.8525839900198 37.6796853921249, 37.8524083021009 37.6798698531702, 37.8528348704159 37.6800337580563, 37.85299915603 37.6800785945849, 37.8530729644367 37.6800723368864, 37.8531260154637 37.680046349344, 37.8534649727062 37.6800001719989, 37.8539497073198 37.6798865905365, 37.8541946706869 37.6798805053449, 37.8543654605749 37.6804433690725, 37.8536876675485 37.6806545272905, 37.8529515083448 37.680665308709, 37.8523256219096 37.680515263382, 37.8516864270266 37.6803533029674, 37.8513935551932 37.6801485318716));3;1;POLYGON ((37.851744452643 37.680342137831, 37.852024717744 37.680423428498, 37.852239473171 37.680480275098, 37.852379735099 37.680512590163, 37.852274239046 37.680749588247, 37.852242967974 37.680834973109, 37.852232253128 37.680946742177, 37.852263829709 37.681035121778, 37.852138428859 37.681010092763, 37.8519206038 37.680957976543, 37.851658119539 37.680888761024, 37.851503327078 37.680827739417, 37.851744452643 37.680342137831))
ADIYAMAN;BESNİ;ERDEMOĞLU;"290";"157";"290";"59";193.39;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11939298;2026-06-10 09:32:18.000;493;2026-06-10 09:32:36.000;8174;2026-06-11 14:12:06.000;752128094;POLYGON ((37.8513935551932 37.6801485318716, 37.8517103992697 37.6793332809625, 37.8518529545378 37.6796322578212, 37.8525839900198 37.6796853921249, 37.8524083021009 37.6798698531702, 37.8528348704159 37.6800337580563, 37.85299915603 37.6800785945849, 37.8530729644367 37.6800723368864, 37.8531260154637 37.680046349344, 37.8534649727062 37.6800001719989, 37.8539497073198 37.6798865905365, 37.8541946706869 37.6798805053449, 37.8543654605749 37.6804433690725, 37.8536876675485 37.6806545272905, 37.8529515083448 37.680665308709, 37.8523256219096 37.680515263382, 37.8516864270266 37.6803533029674, 37.8513935551932 37.6801485318716));3;1;POLYGON ((37.852923907171 37.680893858285, 37.85293963059 37.680645381052, 37.853345728295 37.680632038565, 37.85377939519 37.680628405541, 37.853809148479 37.680753011488, 37.853833327657 37.680853958805, 37.853882430188 37.680879616013, 37.853796793846 37.680911825793, 37.853689283802 37.680950116378, 37.853570017265 37.680980423988, 37.853510262329 37.681003444626, 37.853483555344 37.681021993393, 37.853466386628 37.681051921066, 37.853366947654 37.681052400527, 37.853218326425 37.681060390475, 37.852915412604 37.681059004651, 37.852923907171 37.680893858285))
ADIYAMAN;BESNİ;ERDEMOĞLU;"290";"162";"290";"136";128.23;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11943568;2026-06-10 16:38:31.000;503;2026-06-10 16:38:36.000;8188;2026-06-11 16:10:05.000;752139783;POLYGON ((37.839625050736 37.6835989134379, 37.8400449441375 37.6834838644507, 37.8405371320804 37.6834413047454, 37.8405314759413 37.6838901841714, 37.8412415842031 37.683910817016, 37.8416178223221 37.6846887017542, 37.8418026183926 37.684776425473, 37.8417828478944 37.6854350116768, 37.8413422534097 37.6854190642298, 37.8411581762099 37.6852253196161, 37.8408659312001 37.6849465906131, 37.8407640942914 37.6847774787601, 37.8405191268568 37.6844077176945, 37.8401120137578 37.6842210824455, 37.8397242761983 37.6841321831874, 37.8393434375371 37.684103539102, 37.8393667458388 37.6839481074783, 37.8394543967618 37.6838534962218, 37.8395603253164 37.683759064312, 37.839625050736 37.6835989134379));3;1;POLYGON ((37.842249053994 37.684077940011, 37.841974362155 37.684065077371, 37.841901293736 37.684117556716, 37.841864306077 37.684810930037, 37.841600866963 37.684685865187, 37.841224654644 37.683907960268, 37.842128779638 37.683817298095, 37.842249053994 37.684077940011))
ADIYAMAN;ÇELİKHAN;PINARBAŞI/HACILAR;"224";"130";"224";"48";158.44;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11940021;2026-06-10 10:25:58.000;123;2026-06-10 10:26:02.000;808;2026-06-11 09:42:28.000;752126844;POLYGON ((38.1882583451654 38.030958657569, 38.1884350038319 38.0310113363217, 38.1885983978436 38.0310461778671, 38.1888193587145 38.0310485859274, 38.1889621826434 38.0310158519932, 38.1891087421837 38.0309494268732, 38.1891389250608 38.0309122607614, 38.1893293904125 38.03105958152, 38.1892123882611 38.0311136627124, 38.1890625935578 38.0311421270491, 38.1888997619451 38.0311471621543, 38.1884854765187 38.0311330495664, 38.1883973115688 38.0311190966817, 38.1882775966547 38.0310919368352, 38.1882583451654 38.030958657569));3;1;POLYGON ((38.189170529472 38.030912756069, 38.189126471966 38.030967004207, 38.188979902299 38.031033430419, 38.188837069417 38.031066163629, 38.18861609621 38.031063751484, 38.188452694021 38.031028905069, 38.188276026942 38.030976220213, 38.188250611188 38.030900217177, 38.188329992151 38.030900765235, 38.188417840036 38.030815245384, 38.188500518382 38.030723383464, 38.188530382999 38.030648994845, 38.188553738391 38.030565822535, 38.188585081632 38.030460633228, 38.188779635389 38.030603687817, 38.188906374534 38.030709607513, 38.189075921896 38.030837804376, 38.189170529472 38.030912756069))
ADIYAMAN;ÇELİKHAN;PINARBAŞI/HACILAR;"364";"11";"244";"5";136.45;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11936614;2026-06-09 14:29:57.000;104;2026-06-09 14:31:29.000;838;2026-06-12 09:04:09.000;752124780;POLYGON ((38.2001426378811 38.0306334254991, 38.2000487490286 38.0308376103958, 38.2000049347195 38.0309456544516, 38.1999037793835 38.0309438949206, 38.199915208103 38.0307512800673, 38.1999309198385 38.0306887774313, 38.1999748153743 38.0306089515339, 38.2000910201595 38.0303976272564, 38.2001439695025 38.0301275821618, 38.2001978693675 38.0301637290092, 38.2001795117496 38.0304153128668, 38.2001426378811 38.0306334254991));3;1;POLYGON ((38.200001858775 38.029965448013, 38.200204040169 38.029932679333, 38.200109382278 38.030415370083, 38.199993164931 38.030626704096, 38.19994926465 38.030706533671, 38.199880164827 38.030561946975, 38.19987298087 38.030546914996, 38.199840907219 38.030542732737, 38.199836998512 38.030535588997, 38.199842364828 38.030429679277, 38.199827379682 38.030194801849, 38.19979683882 38.03014396321, 38.19975137207 38.030009869577, 38.199812992138 38.02998875739, 38.199887796987 38.02998061782, 38.200001858775 38.029965448013))
ADIYAMAN;ÇELİKHAN;PINARBAŞI/HACILAR;"224";"132";"224";"72";141.19;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11940087;2026-06-10 10:32:08.000;125;2026-06-10 10:32:14.000;806;2026-06-11 09:11:02.000;752125506;POLYGON ((38.1893956226738 38.0307290467242, 38.1895181690859 38.0306364718727, 38.1896402242241 38.0305568649063, 38.1897622157621 38.0304830228289, 38.1899049921282 38.0304143682385, 38.1899366586647 38.030445034668, 38.1900336729288 38.0305610104209, 38.1900928773687 38.0306365635298, 38.1899935848448 38.0306759386698, 38.1898726063435 38.0307305061562, 38.1897623992394 38.0308007284862, 38.1896104477685 38.0308853790541, 38.1893956226738 38.0307290467242));3;1;POLYGON ((38.18977999556 38.030500585775, 38.189657995063 38.030574429799, 38.189535930798 38.030654039033, 38.18938512762 38.03076795457, 38.189300460963 38.030730219028, 38.189252291785 38.030708750202, 38.189155976151 38.0306429507, 38.189131155593 38.030631788501, 38.189134726816 38.030597128373, 38.189136760562 38.030577953169, 38.189126639914 38.03052482019, 38.18910795613 38.03049424081, 38.18895446549 38.030345704262, 38.189045761088 38.030267595115, 38.189125547858 38.03022093812, 38.189179348501 38.030196534342, 38.189215621613 38.030191649349, 38.189227617626 38.030188308645, 38.189243269983 38.03018391207, 38.189294423577 38.030223994632, 38.189328508279 38.030210986388, 38.189476916423 38.030148946405, 38.189585394948 38.030092847232, 38.189594788372 38.030087957016, 38.189837140446 38.030338006238, 38.189856291958 38.030367507643, 38.189875788335 38.030386380768, 38.189922781904 38.0304319299, 38.18977999556 38.030500585775))
AFYONKARAHİSAR;DİNAR;YIPRAK/BAHÇELİEVLER;"116";"160";"110";"40";125.91;İmar Planı İçerisindeki Tespit Dışı Alanda İdari Yoldan Tescil (TDA-ihale);11971367;2026-06-17 11:10:35.000;538;2026-06-17 11:22:59.000;8492;2026-06-22 09:39:49.000;752369086;POLYGON ((30.473142539573 38.332299124151, 30.473128343102 38.332007169874, 30.473057997143 38.3317265135161, 30.473438273967 38.3321152509649, 30.47308129314 38.33125587963, 30.472591259211 38.330738876568, 30.472298636536 38.330825571381, 30.472121485563 38.330871954428, 30.4719483176426 38.3304413136437, 30.471977265955 38.3302331648601, 30.471971948345 38.3298999774089, 30.4717871874 38.329838692161, 30.4720717410752 38.3294408564596, 30.471510549424 38.3294991277759, 30.471206454331 38.329559524937, 30.4711485518613 38.3296039994753, 30.4707588689911 38.3299033118308, 30.470636283111 38.32985335238, 30.470795649932 38.3295477719304, 30.470927650343 38.329294664664, 30.471374749336 38.329248959666, 30.4716019468917 38.3292873005838, 30.4718224204778 38.3293729686388, 30.472038512519 38.329069157453, 30.473138424124 38.32833111771, 30.473201666689 38.328271341212, 30.473228995724 38.328192913128, 30.47322858877 38.328130260417, 30.473216170006 38.328055125247, 30.473207667031 38.3279705761399, 30.473183338269 38.327898621683, 30.473153990121 38.327693301968, 30.473130338743 38.327626192553, 30.473247669519 38.3275550015899, 30.473323622312 38.327504697278, 30.473334198569 38.327617784971, 30.473443477642 38.327490130618, 30.473892842641 38.32717028288, 30.4741452282132 38.3269431677481, 30.474405316809 38.3267559788328, 30.474515781021 38.326452189495, 30.474605962984 38.32675578238, 30.474605961765 38.326832148815, 30.473881189617 38.327235601846, 30.473507242291 38.32752191742, 30.473671592218 38.328173989973, 30.473878867947 38.328461614377, 30.4735480043415 38.3304408411762, 30.473439723279 38.330365803999, 30.473352258606 38.3304837726779, 30.473313900857 38.330847467071, 30.473329907923 38.3312216344609, 30.473438707865 38.331253272503, 30.473411358127 38.331406157127, 30.473905180656 38.331866685879, 30.47369611867 38.332091611524, 30.473994964122 38.332385265949, 30.473591812423 38.332670031194, 30.473618299908 38.3325683470531, 30.473454644928 38.332451391851, 30.473297812296 38.332339755066, 30.473142539573 38.332299124151));3;1;POLYGON ((30.471149182171 38.330229867011, 30.470993735651 38.330134951741, 30.471510549424 38.329499127775, 30.471978210467 38.329407192027, 30.4717871874 38.32983869216, 30.471971948345 38.329899977408, 30.471977265955 38.330233164859, 30.471979838939 38.330440330531, 30.471623252351 38.330451452042, 30.471399058187 38.3304453513, 30.471340076761 38.330445588261, 30.471359630709 38.330364450282, 30.471149182171 38.330229867011))
